Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
160,Shaheen Afridi,Kuldeep Yadav,,full,straight,0,0,0,cut,"Kuldeep Yadav to Shaheen Afridi, no run, flighted delivery on middle, Shaheen defends off the outer half towards backward point"
161,Shaheen Afridi,Kuldeep Yadav,,full,outside,0,0,0,flick,"Kuldeep Yadav to Shaheen Afridi, no run, pushed fuller with some loop"
162,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Iftikhar Ahmed, out Caught&Bowled,, Flat delivery, was spinning away after pitching"
163,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Iftikhar Ahmed, no run, shortens the length and gets some turn back in, tucked to mid-wicket"
164,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,4,defend,"Kuldeep Yadav to Iftikhar Ahmed, FOUR, tossed up delivery on off, Iftikhar throws the kitchen sink at it"
165,Faheem Ashraf,Jadeja,,full,straight,0,0,0,cover drive,"Jadeja to Faheem Ashraf, no run, darted onto middle, defended"
166,Iftikhar Ahmed,Jadeja,,full,straight,0,0,1,cover drive,"Jadeja to Iftikhar Ahmed, 1 run, flighted up on off, Iftikhar makes room and drives to deep extra cover"
167,Iftikhar Ahmed,Jadeja,,full,straight,0,0,2,flick,"Jadeja to Iftikhar Ahmed, 2 runs, full on middle, slammed to the right of long-on for a couple of runs"
168,Iftikhar Ahmed,Jadeja,,full,straight,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, flat on off, cut from the stumps towards backward point"
169,Iftikhar Ahmed,Jadeja,,full,straight,0,0,0,flick,"Jadeja to Iftikhar Ahmed, no run, steep turn and bounce,, Pitched on middle and ends outside off with some sharp bounce as well"
170,Faheem Ashraf,Jadeja,,full,straight,0,0,1,cover drive,"Jadeja to Faheem Ashraf, 1 run, fired on the pads, glanced behind square"
171,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Iftikhar Ahmed, no run, tossed up on middle, driven back to Kuldeep"
172,Faheem Ashraf,Kuldeep Yadav,,full,straight,0,0,1,cover drive,"Kuldeep Yadav to Faheem Ashraf, 1 run, flighted up and with a bit of width, driven past the catching cover fielder"
173,Shadab Khan,Kuldeep Yadav,,full,straight,1,0,0,defend,"Kuldeep Yadav to Shadab Khan, out Caught by Thakur,, Third wicket for Kuldeep,, Tossed up delivery and Shadab plays a half-hearted chipped drive towards long-on"
174,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,1,flick,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, length ball that turns away, punched square of the wicket for a single"
175,Shadab Khan,Kuldeep Yadav,,full,outside,0,0,1,defend,"Kuldeep Yadav to Shadab Khan, 1 run, Shadab backs away and Kuldeep goes flat"
176,Shadab Khan,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Shadab Khan, no run, floated up on off, invites Shadab to drive and it was slightly uppish towards point"
